Series ID,Year,Period,Label,Value
LASST110000000000003,2022,M01,2022 Jan,6.0
LASST110000000000003,2022,M02,2022 Feb,5.6
LASST110000000000003,2022,M03,2022 Mar,5.2
LASST110000000000003,2022,M04,2022 Apr,4.9
LASST110000000000003,2022,M05,2022 May,4.7
LASST110000000000003,2022,M06,2022 Jun,4.4
LASST110000000000003,2022,M07,2022 Jul,4.2
LASST110000000000003,2022,M08,2022 Aug,4.0
LASST110000000000003,2022,M09,2022 Sep,4.2
LASST110000000000003,2022,M10,2022 Oct,4.4
LASST110000000000003,2022,M11,2022 Nov,4.6
LASST110000000000003,2022,M12,2022 Dec,4.8
LASST110000000000003,2023,M01,2023 Jan,4.9
LASST110000000000003,2023,M02,2023 Feb,5.0
LASST110000000000003,2023,M03,2023 Mar,5.0
LASST110000000000003,2023,M04,2023 Apr,4.9
LASST110000000000003,2023,M05,2023 May,4.8
LASST110000000000003,2023,M06,2023 Jun,4.8
LASST110000000000003,2023,M07,2023 Jul,4.7
LASST110000000000003,2023,M08,2023 Aug,4.8
LASST110000000000003,2023,M09,2023 Sep,4.9
LASST110000000000003,2023,M10,2023 Oct,4.9
LASST110000000000003,2023,M11,2023 Nov,4.9
LASST110000000000003,2023,M12,2023 Dec,4.9
LASST110000000000003,2024,M01,2024 Jan,5.0
LASST110000000000003,2024,M02,2024 Feb,5.1
LAUST010000000000003,2022,M01,2022 Jan,3.1
LAUST010000000000003,2022,M02,2022 Feb,2.9
LAUST010000000000003,2022,M03,2022 Mar,2.4
LAUST010000000000003,2022,M04,2022 Apr,2.0
LAUST010000000000003,2022,M05,2022 May,2.2
LAUST010000000000003,2022,M06,2022 Jun,3.1
LAUST010000000000003,2022,M07,2022 Jul,2.9
LAUST010000000000003,2022,M08,2022 Aug,2.9
LAUST010000000000003,2022,M09,2022 Sep,2.4
LAUST010000000000003,2022,M10,2022 Oct,2.4
LAUST010000000000003,2022,M11,2022 Nov,2.2
LAUST010000000000003,2022,M12,2022 Dec,2.0
LAUST010000000000003,2023,M01,2023 Jan,2.6
LAUST010000000000003,2023,M02,2023 Feb,2.5
LAUST010000000000003,2023,M03,2023 Mar,2.2
LAUST010000000000003,2023,M04,2023 Apr,1.8
LAUST010000000000003,2023,M05,2023 May,2.1
LAUST010000000000003,2023,M06,2023 Jun,2.8
LAUST010000000000003,2023,M07,2023 Jul,2.6
LAUST010000000000003,2023,M08,2023 Aug,2.8
LAUST010000000000003,2023,M09,2023 Sep,2.6
LAUST010000000000003,2023,M10,2023 Oct,2.6
LAUST010000000000003,2023,M11,2023 Nov,2.5
LAUST010000000000003,2023,M12,2023 Dec,2.7
LAUST010000000000003,2024,M01,2024 Jan,3.4
LAUST010000000000003,2024,M02,2024 Feb,3.4
LAUST040000000000003,2022,M01,2022 Jan,3.8
LAUST040000000000003,2022,M02,2022 Feb,3.6
LAUST040000000000003,2022,M03,2022 Mar,3.3
LAUST040000000000003,2022,M04,2022 Apr,3.5
LAUST040000000000003,2022,M05,2022 May,3.6
LAUST040000000000003,2022,M06,2022 Jun,4.3
LAUST040000000000003,2022,M07,2022 Jul,4.3
LAUST040000000000003,2022,M08,2022 Aug,4.4
LAUST040000000000003,2022,M09,2022 Sep,4.0
LAUST040000000000003,2022,M10,2022 Oct,3.9
LAUST040000000000003,2022,M11,2022 Nov,3.6
LAUST040000000000003,2022,M12,2022 Dec,3.3
LAUST040000000000003,2023,M01,2023 Jan,3.6
LAUST040000000000003,2023,M02,2023 Feb,3.6
LAUST040000000000003,2023,M03,2023 Mar,3.5
LAUST040000000000003,2023,M04,2023 Apr,3.4
LAUST040000000000003,2023,M05,2023 May,3.8
LAUST040000000000003,2023,M06,2023 Jun,4.2
LAUST040000000000003,2023,M07,2023 Jul,4.3
LAUST040000000000003,2023,M08,2023 Aug,4.5
LAUST040000000000003,2023,M09,2023 Sep,4.2
LAUST040000000000003,2023,M10,2023 Oct,4.2
LAUST040000000000003,2023,M11,2023 Nov,3.8
LAUST040000000000003,2023,M12,2023 Dec,3.8
LAUST040000000000003,2024,M01,2024 Jan,3.8
LAUST040000000000003,2024,M02,2024 Feb,3.6
LAUST050000000000003,2022,M01,2022 Jan,3.8
LAUST050000000000003,2022,M02,2022 Feb,3.7
LAUST050000000000003,2022,M03,2022 Mar,3.1
LAUST050000000000003,2022,M04,2022 Apr,2.9
LAUST050000000000003,2022,M05,2022 May,3.1
LAUST050000000000003,2022,M06,2022 Jun,3.7
LAUST050000000000003,2022,M07,2022 Jul,3.8
LAUST050000000000003,2022,M08,2022 Aug,3.4
LAUST050000000000003,2022,M09,2022 Sep,3.1
LAUST050000000000003,2022,M10,2022 Oct,2.6
LAUST050000000000003,2022,M11,2022 Nov,2.7
LAUST050000000000003,2022,M12,2022 Dec,2.7
LAUST050000000000003,2023,M01,2023 Jan,3.4
LAUST050000000000003,2023,M02,2023 Feb,3.3
LAUST050000000000003,2023,M03,2023 Mar,2.9
LAUST050000000000003,2023,M04,2023 Apr,2.5
LAUST050000000000003,2023,M05,2023 May,2.9
LAUST050000000000003,2023,M06,2023 Jun,3.5
LAUST050000000000003,2023,M07,2023 Jul,3.7
LAUST050000000000003,2023,M08,2023 Aug,3.6
LAUST050000000000003,2023,M09,2023 Sep,3.5
LAUST050000000000003,2023,M10,2023 Oct,3.1
LAUST050000000000003,2023,M11,2023 Nov,3.2
LAUST050000000000003,2023,M12,2023 Dec,3.4
LAUST050000000000003,2024,M01,2024 Jan,3.9
LAUST050000000000003,2024,M02,2024 Feb,3.5
LAUST060000000000003,2022,M01,2022 Jan,5.6
LAUST060000000000003,2022,M02,2022 Feb,5.0
LAUST060000000000003,2022,M03,2022 Mar,4.5
LAUST060000000000003,2022,M04,2022 Apr,4.0
LAUST060000000000003,2022,M05,2022 May,3.7
LAUST060000000000003,2022,M06,2022 Jun,4.2
LAUST060000000000003,2022,M07,2022 Jul,4.2
LAUST060000000000003,2022,M08,2022 Aug,4.2
LAUST060000000000003,2022,M09,2022 Sep,3.8
LAUST060000000000003,2022,M10,2022 Oct,4.0
LAUST060000000000003,2022,M11,2022 Nov,4.1
LAUST060000000000003,2022,M12,2022 Dec,4.0
LAUST060000000000003,2023,M01,2023 Jan,4.7
LAUST060000000000003,2023,M02,2023 Feb,4.8
LAUST060000000000003,2023,M03,2023 Mar,4.7
LAUST060000000000003,2023,M04,2023 Apr,4.1
LAUST060000000000003,2023,M05,2023 May,4.3
LAUST060000000000003,2023,M06,2023 Jun,4.7
LAUST060000000000003,2023,M07,2023 Jul,4.8
LAUST060000000000003,2023,M08,2023 Aug,5.2
LAUST060000000000003,2023,M09,2023 Sep,4.9
LAUST060000000000003,2023,M10,2023 Oct,5.0
LAUST060000000000003,2023,M11,2023 Nov,4.9
LAUST060000000000003,2023,M12,2023 Dec,5.1
LAUST060000000000003,2024,M01,2024 Jan,5.7
LAUST060000000000003,2024,M02,2024 Feb,5.6
LAUST080000000000003,2022,M01,2022 Jan,4.2
LAUST080000000000003,2022,M02,2022 Feb,3.9
LAUST080000000000003,2022,M03,2022 Mar,3.3
LAUST080000000000003,2022,M04,2022 Apr,2.9
LAUST080000000000003,2022,M05,2022 May,2.7
LAUST080000000000003,2022,M06,2022 Jun,3.0
LAUST080000000000003,2022,M07,2022 Jul,3.0
LAUST080000000000003,2022,M08,2022 Aug,2.8
LAUST080000000000003,2022,M09,2022 Sep,2.6
LAUST080000000000003,2022,M10,2022 Oct,2.8
LAUST080000000000003,2022,M11,2022 Nov,2.9
LAUST080000000000003,2022,M12,2022 Dec,2.7
LAUST080000000000003,2023,M01,2023 Jan,3.1
LAUST080000000000003,2023,M02,2023 Feb,3.4
LAUST080000000000003,2023,M03,2023 Mar,2.9
LAUST080000000000003,2023,M04,2023 Apr,2.7
LAUST080000000000003,2023,M05,2023 May,3.0
LAUST080000000000003,2023,M06,2023 Jun,3.5
